assigned_by,origin_station,destination_station,mission_type,crew_status,navigation_mode,car_color,last_telemetry_message,ship_serial_number
Axel Orov,Vega Spire,Lunaris Port,commute,automated,auto,DarkOliveGreen,Fuel low. Navigating around debris.,CXS-4657-AX
Elia Vorn,Orryx Haven,Cerebra Ring,commute,automated,auto,LightSalmon,Minor vibration detected. Monitoring systems.,CXS-2424-HH
Dr. Calix Renner,Cerebra Ring,Lunaris Port,commute,automated,auto,DarkSlateGray,Power levels nominal. Adjusting trajectory.,CXS-4582-XD
Dr. Calix Renner,Cryon Reach,Helion Hub,commute,automated,auto,YellowGreen,Minor vibration detected. Monitoring systems.,CXS-4257-CS
Commander Yulo,Cerebra Ring,Vega Spire,commute,automated,auto,Peru,Minor vibration detected. Monitoring systems.,CXS-5557-BA
Marshal Keir,Lunaris Port,Thalos Crossing,commute,automated,auto,DarkGoldenRod,Clear path confirmed. Continuing cruise.,CXS-6574-GH
Tamsin Ryx,Zenthar Relay,Vega Spire,commute,automated,auto,Tan,Re-routing due to unstable path.,CXS-2674-TA
Elia Vorn,Vega Spire,Zenthar Relay,commute,automated,auto,Gray,Re-routing due to unstable path.,CXS-6635-WU
Dr. Calix Renner,Zenthar Relay,Thalos Crossing,commute,automated,auto,YellowGreen,Clear path confirmed. Continuing cruise.,CXS-9785-NH
Elia Vorn,Vega Spire,Zenthar Relay,commute,automated,auto,RosyBrown,Minor vibration detected. Monitoring systems.,CXS-5803-SI
Tamsin Ryx,Helion Hub,Zenthar Relay,commute,automated,auto,AntiqueWhite,Power levels nominal. Adjusting trajectory.,CXS-1750-YZ
Axel Orov,Cryon Reach,Thalos Crossing,commute,automated,auto,DimGray,Power levels nominal. Adjusting trajectory.,CXS-4814-WN
Axel Orov,Vega Spire,Zenthar Relay,commute,automated,auto,MediumSpringGreen,Clear path confirmed. Continuing cruise.,CXS-6977-IE
Captain Kael,Orryx Haven,Cryon Reach,commute,automated,auto,IndianRed,Fuel low. Navigating around debris.,CXS-5374-YK
Marshal Keir,Vega Spire,Helion Hub,commute,automated,auto,DarkKhaki,Minor vibration detected. Monitoring systems.,CXS-5010-CM
Zara Strix,Orryx Haven,Zenthar Relay,commute,automated,auto,DarkGray,Re-routing due to unstable path.,CXS-4598-LL
Dr. Calix Renner,Helion Hub,Thalos Crossing,commute,automated,auto,LightGray,Fuel low. Navigating around debris.,CXS-1525-ZB
Axel Orov,Helion Hub,Cryon Reach,commute,automated,auto,Salmon,Power levels nominal. Adjusting trajectory.,CXS-4456-RD
Commander Yulo,Helion Hub,Vega Spire,commute,automated,auto,OldLace,Clear path confirmed. Continuing cruise.,CXS-8517-CR
Marshal Keir,Orryx Haven,Cryon Reach,commute,automated,auto,LightYellow,Fuel low. Navigating around debris.,CXS-9830-UT
Zara Strix,Zenthar Relay,Cerebra Ring,commute,automated,auto,MistyRose,Minor vibration detected. Monitoring systems.,CXS-7543-SG
Marshal Keir,Helion Hub,Vega Spire,commute,automated,auto,CornflowerBlue,Minor vibration detected. Monitoring systems.,CXS-9085-BV
Dr. Calix Renner,Vega Spire,Thalos Crossing,commute,automated,auto,Khaki,Power levels nominal. Adjusting trajectory.,CXS-3504-YJ
Zara Strix,Orryx Haven,Thalos Crossing,commute,automated,auto,Cyan,Minor vibration detected. Monitoring systems.,CXS-2040-HD
Commander Yulo,Cerebra Ring,Cryon Reach,commute,automated,auto,Olive,Minor vibration detected. Monitoring systems.,CXS-5119-IO
Elia Vorn,Lunaris Port,Cerebra Ring,commute,automated,auto,Moccasin,Minor vibration detected. Monitoring systems.,CXS-5371-FL
Axel Orov,Helion Hub,Lunaris Port,commute,automated,auto,MidnightBlue,Clear path confirmed. Continuing cruise.,CXS-3591-GV
Axel Orov,Thalos Crossing,Lunaris Port,commute,automated,auto,LightGreen,Minor vibration detected. Monitoring systems.,CXS-3927-WV
Axel Orov,Vega Spire,Thalos Crossing,commute,automated,auto,Cornsilk,Minor vibration detected. Monitoring systems.,CXS-4258-TU
Marshal Keir,Orryx Haven,Cryon Reach,commute,automated,auto,FloralWhite,Minor vibration detected. Monitoring systems.,CXS-9689-RX
Captain Kael,Lunaris Port,Helion Hub,commute,automated,auto,LemonChiffon,Clear path confirmed. Continuing cruise.,CXS-1319-FO
Axel Orov,Vega Spire,Cryon Reach,commute,automated,auto,Olive,Fuel low. Navigating around debris.,CXS-1949-IU
Elia Vorn,Cryon Reach,Helion Hub,commute,automated,auto,Indigo,Power levels nominal. Adjusting trajectory.,CXS-8962-VK
Marshal Keir,Vega Spire,Thalos Crossing,commute,automated,auto,Chartreuse,Fuel low. Navigating around debris.,CXS-8787-HB
Zara Strix,Orryx Haven,Cryon Reach,commute,automated,auto,Maroon,Fuel low. Navigating around debris.,CXS-9835-MI
Axel Orov,Cryon Reach,Cerebra Ring,commute,automated,auto,Coral,Clear path confirmed. Continuing cruise.,CXS-7118-GS
Commander Yulo,Thalos Crossing,Zenthar Relay,commute,automated,auto,Maroon,Power levels nominal. Adjusting trajectory.,CXS-5061-GU
Captain Kael,Cryon Reach,Lunaris Port,commute,automated,auto,SpringGreen,Power levels nominal. Adjusting trajectory.,CXS-4770-MU
Elia Vorn,Cryon Reach,Lunaris Port,commute,automated,auto,Salmon,Power levels nominal. Adjusting trajectory.,CXS-4750-EI
Captain Kael,Vega Spire,Lunaris Port,commute,automated,auto,DarkSlateGray,Power levels nominal. Adjusting trajectory.,CXS-9423-HX
Commander Yulo,Cryon Reach,Orryx Haven,commute,automated,auto,WhiteSmoke,Fuel low. Navigating around debris.,CXS-9834-IX
Commander Yulo,Orryx Haven,Cerebra Ring,commute,automated,auto,Pink,Fuel low. Navigating around debris.,CXS-8749-SM
Elia Vorn,Cerebra Ring,Vega Spire,commute,automated,auto,MistyRose,Power levels nominal. Adjusting trajectory.,CXS-8062-HE
Zara Strix,Helion Hub,Cryon Reach,commute,automated,auto,Teal,Clear path confirmed. Continuing cruise.,CXS-1887-PC
Zara Strix,Vega Spire,Lunaris Port,commute,automated,auto,BurlyWood,Re-routing due to unstable path.,CXS-2790-DE
Tamsin Ryx,Cryon Reach,Vega Spire,commute,automated,auto,DimGray,Minor vibration detected. Monitoring systems.,CXS-8350-ZV
Marshal Keir,Orryx Haven,Zenthar Relay,commute,automated,auto,Peru,Re-routing due to unstable path.,CXS-8579-TC
Elia Vorn,Cryon Reach,Thalos Crossing,commute,automated,auto,OliveDrab,Clear path confirmed. Continuing cruise.,CXS-2604-MT
Dr. Calix Renner,Lunaris Port,Cerebra Ring,commute,automated,auto,SeaGreen,Power levels nominal. Adjusting trajectory.,CXS-4872-QI
Commander Yulo,Orryx Haven,Zenthar Relay,commute,automated,auto,Aqua,Clear path confirmed. Continuing cruise.,CXS-4502-VX
Marshal Keir,Cerebra Ring,Lunaris Port,commute,automated,auto,DarkOrange,Clear path confirmed. Continuing cruise.,CXS-1035-VR
Commander Yulo,Cerebra Ring,Orryx Haven,commute,automated,auto,LightGreen,Re-routing due to unstable path.,CXS-7930-YU
Tamsin Ryx,Thalos Crossing,Vega Spire,commute,automated,auto,MediumSpringGreen,Re-routing due to unstable path.,CXS-4566-DJ
Dr. Calix Renner,Lunaris Port,Helion Hub,commute,automated,auto,PowderBlue,Re-routing due to unstable path.,CXS-1936-FO
Commander Yulo,Lunaris Port,Helion Hub,commute,automated,auto,AliceBlue,Minor vibration detected. Monitoring systems.,CXS-9701-XX
Elia Vorn,Orryx Haven,Lunaris Port,commute,automated,auto,LightGray,Fuel low. Navigating around debris.,CXS-2122-QY
Tamsin Ryx,Vega Spire,Cerebra Ring,commute,automated,auto,Fuchsia,Clear path confirmed. Continuing cruise.,CXS-2964-QD
Dr. Calix Renner,Cryon Reach,Helion Hub,commute,automated,auto,Lime,Minor vibration detected. Monitoring systems.,CXS-2343-UQ
Captain Kael,Cerebra Ring,Helion Hub,commute,automated,auto,Gray,Re-routing due to unstable path.,CXS-4346-EL
Axel Orov,Helion Hub,Vega Spire,commute,automated,auto,DodgerBlue,Clear path confirmed. Continuing cruise.,CXS-3144-RY
Captain Kael,Zenthar Relay,Cryon Reach,commute,automated,auto,Wheat,Power levels nominal. Adjusting trajectory.,CXS-1152-AT
Elia Vorn,Thalos Crossing,Zenthar Relay,commute,automated,auto,MediumBlue,Power levels nominal. Adjusting trajectory.,CXS-9808-PA
Axel Orov,Cryon Reach,Helion Hub,commute,automated,auto,DarkOliveGreen,Fuel low. Navigating around debris.,CXS-6718-LZ
Captain Kael,Vega Spire,Orryx Haven,commute,automated,auto,Linen,Re-routing due to unstable path.,CXS-3584-HB
Axel Orov,Thalos Crossing,Cerebra Ring,commute,automated,auto,LawnGreen,Minor vibration detected. Monitoring systems.,CXS-9666-SC
Axel Orov,Lunaris Port,Cerebra Ring,commute,automated,auto,DarkBlue,Power levels nominal. Adjusting trajectory.,CXS-3200-XP
Elia Vorn,Zenthar Relay,Lunaris Port,commute,automated,auto,CornflowerBlue,Minor vibration detected. Monitoring systems.,CXS-3546-YR
Tamsin Ryx,Zenthar Relay,Orryx Haven,commute,automated,auto,DarkSalmon,Re-routing due to unstable path.,CXS-4335-EV
Commander Yulo,Zenthar Relay,Helion Hub,commute,automated,auto,Sienna,Re-routing due to unstable path.,CXS-1832-RF
Zara Strix,Vega Spire,Cerebra Ring,commute,automated,auto,LightGray,Re-routing due to unstable path.,CXS-1722-QT
Marshal Keir,Lunaris Port,Cryon Reach,commute,automated,auto,Peru,Re-routing due to unstable path.,CXS-3647-GR
Zara Strix,Thalos Crossing,Zenthar Relay,commute,automated,auto,Green,Minor vibration detected. Monitoring systems.,CXS-1158-WJ
Marshal Keir,Vega Spire,Lunaris Port,commute,automated,auto,PaleGoldenRod,Minor vibration detected. Monitoring systems.,CXS-1590-VU
Marshal Keir,Helion Hub,Zenthar Relay,commute,automated,auto,Navy,Clear path confirmed. Continuing cruise.,CXS-3088-OQ
